section,key,value,extra,level
meta,title,Front Park News,,
meta,subtitle,Informativo do condomínio — atualizações e melhorias,,
meta,edition,Maio/2026,,
highlights,label,Destaque do mês,,
highlights,title,Fachada do prédio reformada,,
highlights,description,"A pintura externa foi concluída neste mês, renovando o visual do condomínio.",,
summary,title,Resumo do mês,,
summary,item,4,Melhorias concluídas,
summary,item,2,Avisos importantes,
summary,item,1,Reunião realizada,
summary,item,3,Próximos passos,
improvements,title,Melhorias e atualizações,,
improvements,item,Pintura da fachada concluída.,,
improvements,item,Nova iluminação de LED na garagem.,,
improvements,item,Manutenção preventiva dos elevadores.,,
warnings,title,Avisos importantes,,
warnings,item,Manutenção da caixa d'água,"Haverá interrupção no fornecimento de água no dia 10/06, das 9h às 12h.",alerta
warnings,item,Nova coleta seletiva,A coleta de recicláveis passa a ocorrer às terças e quintas.,info
next,title,Próximos passos,,
next,item,Reforma do salão de festas (orçamento em análise).,,
next,item,Instalação de câmeras na portaria.,,
next,item,Assembleia geral em julho.,,
meetings,title,Reuniões,,
meetings,item,"Assembleia ordinária — 28/05, 19h, salão de festas.",,
leisure,title,Lazer,,
leisure,item,"Aulas de yoga aos sábados, 9h.",,
leisure,item,Cinema ao ar livre no último domingo do mês.,,
barbecue,title,Churrasqueira,,
barbecue,description,"Agende pelo aplicativo do condomínio com 48h de antecedência. Respeite o silêncio após as 22h.",,
footer,description,"Este informativo é produzido pela administração do condomínio. Dúvidas e sugestões podem ser enviadas à portaria ou pelo aplicativo.",,
footer,thanks,Obrigado por fazer parte do Front Park! 💚,,
